alpha1,alpha2,c1,c2,alpha1_err,alpha2_err,c1_err,c2_err,Z_B_min,Z_B_max,Z_B_mean,Nobj
0.0081,0.0083,0.0001,0.0006,0.0038,0.0041,0.0001,0.0001,-999,999,0.634189123392518,21262011
-0.0020,0.0165,0.0001,0.0002,0.0132,0.0140,0.0002,0.0002,0.1,0.3,0.22439624992408416,1792136
0.0176,0.0043,0.0000,0.0005,0.0090,0.0096,0.0001,0.0001,0.3,0.5,0.41358025171609336,3681319
0.0077,0.0101,0.0004,0.0007,0.0073,0.0078,0.0001,0.0001,0.5,0.7,0.6052438010012714,6148102
0.0423,0.0475,0.0000,0.0008,0.0081,0.0087,0.0001,0.0001,0.7,0.9,0.7946699701214984,4544395
-0.0312,-0.0375,-0.0005,0.0007,0.0080,0.0087,0.0001,0.0001,0.9,1.2,1.0262113776577182,5096059
