bin1_id,bin2_id,bin1_mean,bin2_mean,WeiTot,WeiBlend
0,0,8.047548244386745,0.2584069374791964,144551.94747037627,50393.46075806767
0,1,8.020805653545793,0.36195711837979766,144549.69586645626,51018.255014941096
0,2,8.009111677846219,0.41924203359477347,144549.22349937633,50162.331125602126
0,3,7.980307887022048,0.4639066652950573,144552.81771595962,49741.86492598988
0,4,7.965457512195396,0.5016223767644327,144550.28133883514,49611.43475639075
0,5,7.952850326916397,0.5347475654355996,144552.8121018801,48834.14366727695
0,6,7.937936984356984,0.5645922616908507,144547.23984457366,49014.199550257996
0,7,7.916976526975428,0.5920843884693758,144554.21833649464,48152.07727761008
0,8,7.902268554387082,0.6177713705482433,144549.52563729882,48578.83685870096
0,9,7.8797729804431,0.6419454559450063,144551.43734505773,47501.273190388456
0,10,7.872522899751543,0.6650109565669463,144550.75773508847,47364.32325563021
0,11,7.859967488368769,0.6872350478455892,144553.70139537007,46402.52521808632
0,12,7.835084540727958,0.7089706977587948,144548.17151811253,46597.131433610804
0,13,7.80944211762961,0.7302784305869482,144550.79746701382,46498.4525612127
0,14,7.789720852325622,0.7516401148344344,144551.61261827685,46616.572009619325
0,15,7.763624123941178,0.7731379418921535,144548.43927697465,45517.40732668899
0,16,7.750430653674667,0.7955014226067866,144552.11909451522,45519.369493419304
0,17,7.703348229641621,0.8192018841576071,144553.915941122,45877.1212012833
0,18,7.680547595542662,0.8454166911147026,144546.7969721593,44999.02081046067
0,19,7.692713057224724,0.8781278377877559,144552.28848964442,44354.72528697923
1,0,9.731672592960413,0.24772899115516023,144637.02827206254,52845.56328383088
1,1,9.73954108316639,0.335209766455912,144634.35101326555,51634.5595388636
1,2,9.738780422570455,0.38505124587285633,144640.55586062372,51336.17424796522
1,3,9.727897309293033,0.42456473217282564,144633.84956662357,50737.06339798868
1,4,9.726254478755253,0.4588195100412426,144644.1132887751,50648.57905502617
1,5,9.722160085265978,0.4904524810761683,144635.26051391475,51214.93456760608
1,6,9.719854035127922,0.5198089684602808,144637.56428634562,50174.00522638112
1,7,9.710467377914256,0.5478310344685489,144641.15127797239,50470.84417618066
1,8,9.710253485756574,0.5744088143668431,144632.26309137046,49628.85092045553
1,9,9.706594007318056,0.5998866054313878,144638.3875327371,50445.457675263286
1,10,9.707018960799992,0.6249137614775733,144639.85779377446,49239.9982305076
1,11,9.705366714863546,0.6493128384225267,144634.53209741972,48341.310133753344
1,12,9.705031798851495,0.6734419455138428,144641.22100626305,49586.47797777131
1,13,9.703754869117713,0.6976992228448277,144636.07123759203,48744.91802415252
1,14,9.705029688782155,0.7221197706589338,144633.9145913832,47397.40200355835
1,15,9.69986538003725,0.7468724228126875,144638.95225607604,48053.375539090484
1,16,9.69940692766571,0.7726306796806209,144636.4229620099,47513.74672531523
1,17,9.698048606482605,0.8004121795493977,144641.4545936212,46734.858274612576
1,18,9.70384279715506,0.8318957815984179,144634.27198773436,46481.19306165911
1,19,9.697048972117315,0.8723557514780163,144638.5574606629,45096.218574706465
2,0,11.065691799326117,0.24206804150489794,144173.21673056483,53551.47754761577
2,1,11.063435838634113,0.32229399379615004,144180.41175311804,53461.65372264385
2,2,11.066385942101322,0.36957077978754055,144181.01285591722,52741.804254323244
2,3,11.055958130811502,0.4080299357297186,144178.87015157938,52084.501174390316
2,4,11.061530373781336,0.44143100254894185,144176.20359674096,51793.530648976564
2,5,11.060717967762807,0.4724400433074219,144179.51032845676,51557.62352347374
2,6,11.055654230010761,0.5016027076987986,144176.24594319612,51123.943017460406
2,7,11.062380289771735,0.5294271043317489,144180.44755764306,49849.51355417818
2,8,11.054847508543363,0.5566585869408264,144181.0900216438,50320.94091633335
2,9,11.058264564797852,0.5830366119640973,144174.08397339284,50429.037457346916
2,10,11.050371738014013,0.6089066869455437,144180.32987515256,50307.87187755853
2,11,11.0538350201783,0.6345446614101911,144173.67054454237,48812.50072362274
2,12,11.042960671530073,0.6600629711789159,144180.0104970578,48680.696864137426
2,13,11.041550020011949,0.6855734726664459,144176.59550633095,48992.16181596741
2,14,11.052897829375665,0.7114536325766603,144181.5002995897,48467.85865418799
2,15,11.042849415727185,0.737750422300816,144176.31663419865,47889.91404213384
2,16,11.03963442924565,0.7655222289811396,144179.46457977965,47633.84803628735
2,17,11.045311455752294,0.7951091495571965,144179.27660563588,47017.73180171102
2,18,11.045313111292286,0.828351583071659,144176.4374586083,46242.2176383473
2,19,11.044017730241196,0.8709275638824422,144178.89250268228,45448.98813717626
3,0,12.27959535242361,0.2369735081243714,143944.23368167877,54428.07752966881
3,1,12.278879508461822,0.3158804238050471,143949.0274876356,53712.76415383816
3,2,12.278922094875085,0.36154876593990054,143946.55230033398,52617.49798083305
3,3,12.280477411803917,0.3981398084955036,143937.78799177706,50965.06180603802
3,4,12.28016881169788,0.43021640818669954,143948.1897623241,51892.02081272006
3,5,12.278885636608372,0.46000074628390697,143942.92268516123,51063.78182846308
3,6,12.276839611637364,0.4877905949919814,143948.26672032475,50955.39803606272
3,7,12.27319388802652,0.5148414496112927,143943.66139181703,50796.2615545243
3,8,12.274458686324182,0.5411799960594132,143940.2856879402,50658.797533512115
3,9,12.274605162397917,0.5674092966576872,143947.76404585876,49836.046497095376
3,10,12.27302155886443,0.5936100984248771,143946.3108539842,49185.51733955741
3,11,12.268368976431644,0.6199870558276661,143949.5963093657,49777.59290088527
3,12,12.267382855267819,0.6464772519480317,143937.0751628913,49315.16707991436
3,13,12.26960625041351,0.6733813314743936,143942.53988069855,48748.251796681434
