bin1_id,bin2_id,bin1_mean,bin2_mean,WeiTot,WeiBlend
0,0,8.491659229743426,0.2568147032615099,715560.7215600591,245888.990181908
0,1,8.493349296772037,0.3588382037934168,715559.7199398316,250552.59766624495
0,2,8.477372074128578,0.41471831038933804,715558.1006214693,247320.97585592605
0,3,8.454152543751645,0.4580746556710368,715566.00174205,243840.9961009547
0,4,8.430270682605343,0.49501117793307126,715554.8499413002,243318.10964484885
0,5,8.413163509755076,0.5276561416377052,715560.4527876759,240090.7120906934
0,6,8.39259497250446,0.5573050289845572,715564.8109479472,240590.43638422154
0,7,8.380073755288938,0.5846591628205621,715557.3514793981,239328.3111275863
0,8,8.349914754639263,0.6103858203349798,715561.0744426828,237489.55007912964
0,9,8.336548833891523,0.6347946153969511,715567.4072099235,234984.56941842847
0,10,8.314175124546166,0.6582490141640583,715553.569827552,233801.44072788022
0,11,8.29029265604612,0.6809382646436845,715562.7009482309,232379.01038477663
0,12,8.270629199248349,0.7031249386426027,715556.8164194543,230575.8503549043
0,13,8.252544502576042,0.7249988477631238,715564.3146230681,227295.28385960497
0,14,8.225911425141101,0.7468558257513421,715562.5547361337,226766.76827017032
0,15,8.207893881698977,0.7689515404040236,715560.4182476355,224402.36983232107
0,16,8.186664727579856,0.7918969374469057,715558.8143405421,222753.31768954732
0,17,8.147431145876531,0.8162719695687143,715556.9455446545,221037.2043792978
0,18,8.119091148337397,0.8434214982232947,715560.5749098957,218024.7380002439
0,19,8.129967230864134,0.8772954919972513,715560.6777363587,216285.7873678254
1,0,10.677484376546241,0.24792477017909506,717830.1679210961,266417.60587742925
1,1,10.671648076057267,0.3328115844510134,717838.5767854527,262319.46452165395
1,2,10.664805192895972,0.3819045584646466,717834.6000046581,262098.51167222857
1,3,10.66225185249766,0.42155700155943654,717834.0680187419,257953.84482506663
1,4,10.658491216988539,0.4560537859794392,717829.7583650574,256344.29267390817
1,5,10.661627773862364,0.48747748119173945,717832.9244425986,254928.55111219175
1,6,10.65684147448185,0.5167020702834954,717838.1463656891,252262.409630917
1,7,10.653025844469243,0.5446018824324267,717831.9912233725,249519.48506633192
1,8,10.646737728989095,0.571360494314955,717833.9472975191,249974.40497455187
1,9,10.645171383429242,0.5972963118639801,717834.0470761526,248150.17260863818
1,10,10.644488041523784,0.622728571719141,717832.6102249045,246247.6938072741
1,11,10.639761032623904,0.6476779202567502,717836.5382446442,242275.60778094083
1,12,10.637524200230343,0.6722746184573418,717838.3326595686,243043.6551766023
1,13,10.636450375647506,0.6968528842171351,717824.0983150229,239795.33540242352
1,14,10.638058223212084,0.7215535682851684,717835.242652962,238790.48910925165
1,15,10.635204170499929,0.7467519765417476,717827.8951755427,239948.71019432507
1,16,10.631929385037855,0.7728474887871876,717843.0279925317,233553.7513385117
1,17,10.63453647738107,0.8008177280670568,717834.7763366774,232389.98478880432
1,18,10.634936648501558,0.8323643466297902,717830.8322774572,229978.3997397311
1,19,10.639690371579773,0.8726863313641321,717831.6201095087,224855.59736495465
2,0,12.449063770654304,0.24140851069387115,714431.0331558138,267517.96438898146
2,1,12.454015059064622,0.32329525849772994,714426.2896496058,265386.59849870205
2,2,12.453002957618276,0.3705108131128774,714427.9478071034,259413.54564133286
2,3,12.450831290395117,0.40841430675428214,714437.732629735,256114.5402738601
2,4,12.450125944363132,0.44148856501599093,714434.327615235,258747.60449752957
2,5,12.44583735052175,0.4717335785808982,714413.5197847188,255355.84046772122
2,6,12.448589090618523,0.5000509606409042,714429.645778507,253338.16114395112
2,7,12.444668276091267,0.5273375589400151,714432.8835122697,252724.01096674427
2,8,12.439410021308488,0.5541477231763284,714433.0441138968,247181.77142550424
2,9,12.438413925600987,0.5804356676443702,714426.4427807666,248355.83272710815
2,10,12.439556099373858,0.6064438131545976,714428.9974658303,247071.97184432298
2,11,12.433046793229842,0.6322990298082807,714429.4756849296,244511.40971636958
2,12,12.43017443611908,0.6583146781156213,714425.0070890803,244126.02750194073
2,13,12.428422851457741,0.6844491100462421,714434.5077825468,241841.06698461436
2,14,12.430180661334363,0.7109335428882387,714428.0268484261,239608.32135648467
2,15,12.427474663596179,0.738054126762577,714430.8015579637,238059.25464519486
2,16,12.428580739209847,0.7661637070077474,714424.5376430694,233920.87026173435
2,17,12.428155192455263,0.7960901146567415,714432.2158156093,234192.34310081787
2,18,12.4304212500184,0.8296818311984981,714432.0767691918,230235.85735672154
2,19,12.439399992565145,0.8719021290697949,714425.7289858591,226821.3482821677
3,0,14.161476056075287,0.23566381433415098,714389.3042250872,267336.5588249564
3,1,14.15508301002799,0.3157440422845545,714376.7673318684,267236.85918447375
3,2,14.154509418776497,0.36198635264058154,714386.7163638473,261416.39614099264
3,3,14.151830905280164,0.3988630380824592,714390.8873666376,259431.28303468227
3,4,14.153992706370662,0.4311014257642587,714375.1423749048,255817.81344859488
3,5,14.15277882300546,0.4605268816321511,714389.9859060347,255752.88446187973
3,6,14.155490272295065,0.4882739826466009,714396.3841961101,254465.20007809252
3,7,14.149513259169387,0.5150929816321842,714390.5709572062,254363.22882483155
3,8,14.15001438501896,0.5413630691374467,714366.1640489735,250683.9388324283
3,9,14.149080305374634,0.5674274283870948,714388.1985260062,248306.44774873927
3,10,14.145725421927098,0.5935858032802148,714382.9316577576,248854.4313500002
3,11,14.145509958407818,0.6200201086385895,714380.705228433,246646.0486481674
3,12,14.140528040833496,0.6468100651850203,714388.7224806733,243804.0306818448
3,13,14.143090971186934,0.6740737425062207,714382.8909950554,245093.72283514217
